,CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,Clusters
0,C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0,2,4494.449450364621,201.802084,864.2065423050828,0.0,12,1
1,C10002,3202.467416,0.909091,0.0,0.0,0.0,6442.945483,0.0,0.0,0.0,0.25,4,0,4494.449450364621,4103.032597,864.2065423050828,0.222222,12,3
2,C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0,12,4494.449450364621,622.066742,864.2065423050828,0.0,12,2
3,C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1,1,4494.449450364621,0.0,864.2065423050828,0.0,12,1
4,C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0,1,4494.449450364621,678.334763,864.2065423050828,0.0,12,1
5,C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0,8,4494.449450364621,1400.05777,864.2065423050828,0.0,12,2
6,C10007,627.260806,1.0,7091.01,6402.63,688.38,0.0,1.0,1.0,1.0,0.0,0,64,4494.449450364621,6354.314328,864.2065423050828,1.0,12,2
7,C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,679.065082,864.2065423050828,0.0,12,2
8,C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0,5,4494.449450364621,688.278568,864.2065423050828,0.0,12,2
9,C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0,3,4494.449450364621,1164.770591,864.2065423050828,0.0,12,1
10,C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0,12,4494.449450364621,1083.301007,864.2065423050828,0.0,12,2
11,C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0,6,4494.449450364621,705.618627,864.2065423050828,0.0,12,1
12,C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0,26,4494.449450364621,608.263689,864.2065423050828,0.25,12,2
13,C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0,26,4494.449450364621,1655.891435,864.2065423050828,0.083333,12,2
14,C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1,0,4494.449450364621,805.647974,864.2065423050828,0.0,12,3
